frame_index,timestamp_monotonic_ms,timestamp_wall_ms
0,5774341.963024,1769349177322.0093
1,5774504.397247001,1769349177484.4453
2,5774536.142624,1769349177516.189
3,5774568.154928,1769349177548.2014
4,5774604.075215001,1769349177584.122
5,5774636.026334,1769349177616.0715
6,5774704.154165,1769349177684.2024
7,5774736.141904,1769349177716.1882
8,5774768.179751,1769349177748.2256
9,5774804.234088,1769349177784.2825
10,5774836.146664,1769349177816.1921
11,5774904.2373359995,1769349177884.2856
12,5774936.1809829995,1769349177916.2273
13,5774968.162583,1769349177948.2087
14,5775004.245697,1769349177984.2922
15,5775068.219256,1769349178048.267
16,5775104.3089189995,1769349178084.3567
17,5775136.249925,1769349178116.2969
18,5775168.147406,1769349178148.1936
19,5775236.173255,1769349178216.22
20,5775268.157075999,1769349178248.2043
21,5775304.291554,1769349178284.339
22,5775336.145135,1769349178316.1912
23,5775368.083690001,1769349178348.1294
24,5775436.269648001,1769349178416.3174
25,5775468.214489,1769349178448.262
26,5775504.218917,1769349178484.2664
27,5775568.182969,1769349178548.2312
28,5775604.174629999,1769349178584.2231
29,5775636.171002,1769349178616.2178
30,5775668.3173940005,1769349178648.3638
31,5775704.092285,1769349178684.1382
32,5775768.237387001,1769349178748.2854
33,5775804.234205,1769349178784.2815
34,5775836.24304,1769349178816.2888
35,5775868.099103,1769349178848.1445
36,5775937.027969999,1769349178917.0725
37,5775968.090956001,1769349178948.1387
38,5776004.14704,1769349178984.1936
39,5776068.236613001,1769349179048.2822
40,5776104.201481,1769349179084.247
41,5776136.296521,1769349179116.3428
42,5776168.254062001,1769349179148.2998
43,5776204.2620250005,1769349179184.307
44,5776268.210672,1769349179248.2554
45,5776304.262012,1769349179284.3074
46,5776336.382739,1769349179316.4287
47,5776368.193342,1769349179348.2388
48,5776436.252917999,1769349179416.3005
49,5776468.37412,1769349179448.4202
50,5776504.257541,1769349179484.3027
51,5776536.176654,1769349179516.222
52,5776604.23008,1769349179584.2761
53,5776636.1896979995,1769349179616.2349
54,5776668.212168,1769349179648.2583
55,5776704.540224,1769349179684.586
56,5776768.235258,1769349179748.2808
57,5776804.28742,1769349179784.3333
58,5776836.310726999,1769349179816.3564
59,5776868.202104,1769349179848.2476
60,5776936.228874001,1769349179916.2747
61,5776968.313847,1769349179948.36
62,5777004.267940001,1769349179984.314
63,5777036.217133,1769349180016.2622
64,5777068.165078,1769349180048.2102
65,5777136.195072,1769349180116.2412
66,5777168.222133,1769349180148.2678
67,5777204.271449,1769349180184.3176
68,5777236.159781001,1769349180216.205
69,5777304.309421,1769349180284.356
70,5777336.257718,1769349180316.304
71,5777368.214219,1769349180348.26
72,5777404.237359,1769349180384.283
73,5777468.246964,1769349180448.293
74,5777504.312739,1769349180484.3591
75,5777536.32408,1769349180516.37
76,5777568.114607,1769349180548.1602
77,5777636.246281,1769349180616.293
78,5777668.227812,1769349180648.2737
79,5777704.25823,1769349180684.3042
80,5777736.233010001,1769349180716.279
81,5777768.102014,1769349180748.1472
82,5777836.233795,1769349180816.2793
83,5777868.25863,1769349180848.3047
84,5777904.305037,1769349180884.351
85,5777936.279212999,1769349180916.325
86,5778004.18657,1769349180984.2324
87,5778036.294241,1769349181016.3406
88,5778068.285398,1769349181048.3318
89,5778104.249701001,1769349181084.296
90,5778168.269021,1769349181148.3154
91,5778204.243809001,1769349181184.2896
92,5778236.310239,1769349181216.3564
93,5778268.27169,1769349181248.3176
94,5778304.242598,1769349181284.288
95,5778368.266116,1769349181348.3125
96,5778404.284057,1769349181384.33
97,5778436.285071,1769349181416.3308
98,5778468.167643,1769349181448.2126
99,5778536.227046999,1769349181516.2732
100,5778568.247504001,1769349181548.2937
101,5778604.236225,1769349181584.2825
102,5778636.227508,1769349181616.273
103,5778704.347792,1769349181684.394
104,5778736.319910999,1769349181716.3665
105,5778768.247992001,1769349181748.2942
106,5778804.308238,1769349181784.354
107,5778868.401693,1769349181848.4482
108,5778904.310082,1769349181884.357
109,5778936.265132,1769349181916.311
110,5778968.225099,1769349181948.2705
111,5779004.036149,1769349181984.0813
112,5779068.205274001,1769349182048.2505
113,5779104.249252999,1769349182084.2954
114,5779136.214566,1769349182116.2605
115,5779168.171581,1769349182148.2166
116,5779236.065971,1769349182216.1104
117,5779268.114839001,1769349182248.16
118,5779304.264045,1769349182284.31
119,5779336.302258,1769349182316.3484
120,5779368.210052,1769349182348.2551
121,5779436.356187,1769349182416.4036
122,5779468.320557,1769349182448.3665
123,5779504.370975,1769349182484.4172
124,5779536.330548,1769349182516.377
125,5779568.091403,1769349182548.1365
126,5779636.52059,1769349182616.567
127,5779668.399372,1769349182648.4448
128,5779704.159839,1769349182684.2058
129,5779736.271179,1769349182716.317
130,5779768.137309,1769349182748.183
131,5779836.310012,1769349182816.3564
132,5779868.276024,1769349182848.3235
133,5779904.240154999,1769349182884.286
134,5779968.2609250005,1769349182948.3076
135,5780004.297014,1769349182984.3425
136,5780036.278194,1769349183016.3242
137,5780068.372689,1769349183048.4182
138,5780104.259751,1769349183084.3054
139,5780168.237546,1769349183148.2837
140,5780204.2565089995,1769349183184.302
141,5780236.197369,1769349183216.2432
142,5780268.208779,1769349183248.2546
143,5780304.254741,1769349183284.3005
144,5780368.255969,1769349183348.3022
145,5780404.333703,1769349183384.3801
146,5780436.269033,1769349183416.3154
147,5780468.199132999,1769349183448.2446
148,5780536.384266,1769349183516.4324
149,5780568.342691,1769349183548.3896
150,5780604.155084999,1769349183584.202
151,5780636.195521001,1769349183616.2415
152,5780668.149216,1769349183648.1953
153,5780736.309811,1769349183716.3562
154,5780768.2170130005,1769349183748.2632
155,5780804.353055,1769349183784.3992
156,5780836.112731,1769349183816.1582
157,5780904.507633001,1769349183884.5557
158,5780936.204284,1769349183916.2507
159,5780968.281049,1769349183948.3276
160,5781004.254321001,1769349183984.3
161,5781068.282207999,1769349184048.3286
162,5781104.326138,1769349184084.3726
163,5781136.2939760005,1769349184116.34
164,5781168.189289999,1769349184148.2356
165,5781204.188115,1769349184184.2334
166,5781268.4886340005,1769349184248.5352
167,5781304.25983,1769349184284.306
168,5781336.273201,1769349184316.3193
169,5781368.163245,1769349184348.2085
170,5781436.412776,1769349184416.4592
171,5781468.30779,1769349184448.3545
172,5781504.310173,1769349184484.3567
173,5781536.241532,1769349184516.2878
174,5781604.150614,1769349184584.196
175,5781636.040126,1769349184616.0857
176,5781668.250217,1769349184648.296
177,5781704.201862001,1769349184684.2478
178,5781736.252476,1769349184716.2979
179,5781804.298985,1769349184784.345
180,5781836.32561,1769349184816.371
181,5781868.215507,1769349184848.2612
