timestamp_monotonic_ms,timestamp_device_ms,source,rssi,rtt_ms,mac_address,ssid,csi_amp,csi_phase
4514381.079932,1769347917361.1152,linux_poll,-100.0,11.3,router,,[],[]
4514422.222923,1769347917402.2585,linux_poll,-100.0,11.2,router,,[],[]
4514471.621676,1769347917451.6597,linux_poll,-100.0,11.3,router,,[],[]
4514532.871263,1769347917512.9058,linux_poll,-100.0,11.3,router,,[],[]
4514581.433015,1769347917561.4675,linux_poll,-100.0,11.1,router,,[],[]
4514634.3794639995,1769347917614.4153,linux_poll,-100.0,11.0,router,,[],[]
4514678.656845,1769347917658.695,linux_poll,-100.0,11.0,router,,[],[]
4514722.280169001,1769347917702.3167,linux_poll,-100.0,11.1,router,,[],[]
4514788.083322,1769347917768.1165,linux_poll,-100.0,11.5,router,,[],[]
4514837.455196,1769347917817.491,linux_poll,-100.0,11.5,router,,[],[]
4514887.788419,1769347917867.824,linux_poll,-100.0,11.6,router,,[],[]
4514937.061206,1769347917917.0964,linux_poll,-100.0,11.2,router,,[],[]
4514986.750188,1769347917966.784,linux_poll,-100.0,11.3,router,,[],[]
4515039.675397,1769347918019.7114,linux_poll,-100.0,11.3,router,,[],[]
4515086.464573,1769347918066.5005,linux_poll,-100.0,11.4,router,,[],[]
4515138.304193,1769347918118.3386,linux_poll,-100.0,11.5,router,,[],[]
4515189.223325999,1769347918169.2578,linux_poll,-100.0,13.6,router,,[],[]
4515238.684195,1769347918218.72,linux_poll,-100.0,11.3,router,,[],[]
4515287.674548,1769347918267.7102,linux_poll,-100.0,11.1,router,,[],[]
4515339.748268,1769347918319.7842,linux_poll,-100.0,11.7,router,,[],[]
4515385.7606649995,1769347918365.7957,linux_poll,-100.0,11.1,router,,[],[]
4515438.528136,1769347918418.563,linux_poll,-100.0,11.4,router,,[],[]
4515488.765783001,1769347918468.8015,linux_poll,-100.0,11.5,router,,[],[]
4515538.262551,1769347918518.298,linux_poll,-100.0,11.3,router,,[],[]
4515588.2751939995,1769347918568.3105,linux_poll,-100.0,11.5,router,,[],[]
4515639.618956,1769347918619.6545,linux_poll,-100.0,11.3,router,,[],[]
4515686.2137,1769347918666.249,linux_poll,-100.0,11.3,router,,[],[]
4515738.628995,1769347918718.6648,linux_poll,-100.0,11.1,router,,[],[]
4515789.696732,1769347918769.732,linux_poll,-100.0,11.4,router,,[],[]
4515839.634451,1769347918819.67,linux_poll,-100.0,11.5,router,,[],[]
4515886.266763,1769347918866.302,linux_poll,-100.0,11.5,router,,[],[]
4515940.704499001,1769347918920.7388,linux_poll,-100.0,11.6,router,,[],[]
4515986.643387999,1769347918966.6802,linux_poll,-100.0,11.7,router,,[],[]
4516038.736661,1769347919018.7725,linux_poll,-100.0,11.5,router,,[],[]
4516089.639369,1769347919069.675,linux_poll,-100.0,11.4,router,,[],[]
4516138.802093,1769347919118.8374,linux_poll,-100.0,11.4,router,,[],[]
4516189.918035001,1769347919169.9543,linux_poll,-100.0,11.5,router,,[],[]
4516238.718048,1769347919218.7542,linux_poll,-100.0,11.6,router,,[],[]
4516288.776553,1769347919268.8113,linux_poll,-100.0,11.3,router,,[],[]
4516341.443655,1769347919321.479,linux_poll,-100.0,11.7,router,,[],[]
4516389.504565,1769347919369.5396,linux_poll,-100.0,11.7,router,,[],[]
4516438.656688,1769347919418.693,linux_poll,-100.0,11.6,router,,[],[]
4516486.811787999,1769347919466.847,linux_poll,-100.0,11.6,router,,[],[]
4516541.7424,1769347919521.7773,linux_poll,-100.0,12.0,router,,[],[]
4516589.287308999,1769347919569.3215,linux_poll,-100.0,11.2,router,,[],[]
4516639.716473,1769347919619.7532,linux_poll,-100.0,11.1,router,,[],[]
4516690.6575650005,1769347919670.693,linux_poll,-100.0,11.7,router,,[],[]
4516740.346218,1769347919720.382,linux_poll,-100.0,11.4,router,,[],[]
4516790.756465,1769347919770.792,linux_poll,-100.0,11.3,router,,[],[]
4516839.699369,1769347919819.7356,linux_poll,-100.0,11.3,router,,[],[]
4516891.773351,1769347919871.8088,linux_poll,-100.0,11.5,router,,[],[]
4516941.704453,1769347919921.7388,linux_poll,-100.0,11.4,router,,[],[]
4516993.30497,1769347919973.3403,linux_poll,-100.0,11.8,router,,[],[]
4517039.401392001,1769347920019.44,linux_poll,-100.0,11.5,router,,[],[]
4517077.431201,1769347920057.4697,linux_poll,-100.0,11.6,router,,[],[]
4517127.356586999,1769347920107.3953,linux_poll,-100.0,11.5,router,,[],[]
4517199.703018,1769347920179.7395,linux_poll,-100.0,18.9,router,,[],[]
4517240.571417,1769347920220.608,linux_poll,-100.0,11.6,router,,[],[]
4517293.596083,1769347920273.6309,linux_poll,-100.0,11.2,router,,[],[]
4517340.776899,1769347920320.8105,linux_poll,-100.0,11.3,router,,[],[]
4517393.644695,1769347920373.6797,linux_poll,-100.0,11.5,router,,[],[]
4517442.198892,1769347920422.2354,linux_poll,-100.0,11.1,router,,[],[]
4517493.619535999,1769347920473.6538,linux_poll,-100.0,11.2,router,,[],[]
4517541.063067,1769347920521.098,linux_poll,-100.0,11.2,router,,[],[]
4517592.316944,1769347920572.352,linux_poll,-100.0,11.1,router,,[],[]
4517643.224814,1769347920623.2615,linux_poll,-100.0,11.3,router,,[],[]
4517691.695862001,1769347920671.731,linux_poll,-100.0,11.3,router,,[],[]
4517744.534106,1769347920724.5696,linux_poll,-100.0,11.3,router,,[],[]
4517793.956522,1769347920773.9907,linux_poll,-100.0,11.4,router,,[],[]
4517843.773936,1769347920823.8098,linux_poll,-100.0,11.5,router,,[],[]
4517893.9545249995,1769347920873.9902,linux_poll,-100.0,11.3,router,,[],[]
4517945.56015,1769347920925.595,linux_poll,-100.0,11.1,router,,[],[]
4517995.7282610005,1769347920975.764,linux_poll,-100.0,11.1,router,,[],[]
4518045.474908,1769347921025.5115,linux_poll,-100.0,11.3,router,,[],[]
4518095.557486,1769347921075.592,linux_poll,-100.0,11.6,router,,[],[]
4518145.536735,1769347921125.5728,linux_poll,-100.0,11.3,router,,[],[]
4518195.571296,1769347921175.6062,linux_poll,-100.0,11.3,router,,[],[]
4518243.518698,1769347921223.5547,linux_poll,-100.0,11.4,router,,[],[]
4518294.574449,1769347921274.6099,linux_poll,-100.0,11.4,router,,[],[]
4518346.666081,1769347921326.702,linux_poll,-100.0,11.4,router,,[],[]
4518396.946051,1769347921376.9814,linux_poll,-100.0,11.4,router,,[],[]
4518444.876705,1769347921424.9133,linux_poll,-100.0,11.5,router,,[],[]
4518497.430601,1769347921477.4656,linux_poll,-100.0,11.4,router,,[],[]
4518545.880115,1769347921525.9153,linux_poll,-100.0,11.4,router,,[],[]
4518595.849773,1769347921575.8853,linux_poll,-100.0,11.4,router,,[],[]
4518645.918596,1769347921625.954,linux_poll,-100.0,11.5,router,,[],[]
4518697.293096,1769347921677.3284,linux_poll,-100.0,11.8,router,,[],[]
4518746.875835,1769347921726.9114,linux_poll,-100.0,11.0,router,,[],[]
4518796.903098,1769347921776.9387,linux_poll,-100.0,11.4,router,,[],[]
4518845.499934999,1769347921825.5354,linux_poll,-100.0,10.7,router,,[],[]
4518897.914316,1769347921877.95,linux_poll,-100.0,11.5,router,,[],[]
4518947.662841001,1769347921927.6987,linux_poll,-100.0,11.3,router,,[],[]
4518996.91094,1769347921976.9458,linux_poll,-100.0,11.3,router,,[],[]
4519047.774767,1769347922027.813,linux_poll,-100.0,11.1,router,,[],[]
4519097.908671,1769347922077.9446,linux_poll,-100.0,11.5,router,,[],[]
4519146.745369,1769347922126.7822,linux_poll,-100.0,11.2,router,,[],[]
4519208.928815,1769347922188.965,linux_poll,-100.0,21.0,router,,[],[]
4519252.507,1769347922232.542,linux_poll,-100.0,11.5,router,,[],[]
4519301.899893,1769347922281.9355,linux_poll,-100.0,11.1,router,,[],[]
4519348.4640420005,1769347922328.5,linux_poll,-100.0,11.2,router,,[],[]
4519401.29697,1769347922381.3323,linux_poll,-100.0,11.3,router,,[],[]
4519451.663912999,1769347922431.6987,linux_poll,-100.0,11.4,router,,[],[]
4519501.883975999,1769347922481.9187,linux_poll,-100.0,11.4,router,,[],[]
4519551.915379,1769347922531.951,linux_poll,-100.0,11.3,router,,[],[]
4519601.775469,1769347922581.8118,linux_poll,-100.0,11.2,router,,[],[]
4519653.6065569995,1769347922633.6416,linux_poll,-100.0,11.1,router,,[],[]
4519702.965074,1769347922682.9995,linux_poll,-100.0,11.1,router,,[],[]
4519749.21596,1769347922729.252,linux_poll,-100.0,11.2,router,,[],[]
4519802.047701,1769347922782.084,linux_poll,-100.0,11.2,router,,[],[]
4519854.670313,1769347922834.7048,linux_poll,-100.0,11.2,router,,[],[]
4519903.260793,1769347922883.2952,linux_poll,-100.0,11.1,router,,[],[]
4519954.297372,1769347922934.3315,linux_poll,-100.0,11.5,router,,[],[]
4520004.123032,1769347922984.1582,linux_poll,-100.0,11.4,router,,[],[]
4520053.229514,1769347923033.2642,linux_poll,-100.0,11.2,router,,[],[]
4520104.532368,1769347923084.5693,linux_poll,-100.0,11.5,router,,[],[]
4520154.723707,1769347923134.7585,linux_poll,-100.0,11.4,router,,[],[]
4520203.240173,1769347923183.2727,linux_poll,-100.0,11.1,router,,[],[]
4520254.351513,1769347923234.3865,linux_poll,-100.0,11.3,router,,[],[]
4520306.787108,1769347923286.8223,linux_poll,-100.0,11.4,router,,[],[]
4520355.7748650005,1769347923335.8096,linux_poll,-100.0,11.6,router,,[],[]
4520403.770762,1769347923383.8076,linux_poll,-100.0,11.5,router,,[],[]
4520454.854569,1769347923434.8906,linux_poll,-100.0,11.4,router,,[],[]
4520503.407385,1769347923483.4412,linux_poll,-100.0,11.2,router,,[],[]
4520556.501175,1769347923536.5347,linux_poll,-100.0,11.2,router,,[],[]
4520606.381667,1769347923586.4177,linux_poll,-100.0,11.2,router,,[],[]
4520653.881487999,1769347923633.9165,linux_poll,-100.0,11.3,router,,[],[]
4520706.893669,1769347923686.9304,linux_poll,-100.0,12.4,router,,[],[]
4520755.947066,1769347923735.9822,linux_poll,-100.0,11.5,router,,[],[]
4520808.435858,1769347923788.4714,linux_poll,-100.0,11.2,router,,[],[]
4520856.8959679995,1769347923836.9312,linux_poll,-100.0,11.3,router,,[],[]
4520906.585566,1769347923886.621,linux_poll,-100.0,11.3,router,,[],[]
4520956.46194,1769347923936.4976,linux_poll,-100.0,11.4,router,,[],[]
4521005.701612,1769347923985.7363,linux_poll,-100.0,11.1,router,,[],[]
4521055.320638999,1769347924035.3567,linux_poll,-100.0,11.4,router,,[],[]
4521106.487277,1769347924086.5225,linux_poll,-100.0,11.4,router,,[],[]
4521156.908369999,1769347924136.9434,linux_poll,-100.0,11.4,router,,[],[]
4521218.908834,1769347924198.9443,linux_poll,-100.0,21.6,router,,[],[]
4521262.446467,1769347924242.4824,linux_poll,-100.0,11.3,router,,[],[]
4521311.852865,1769347924291.889,linux_poll,-100.0,11.2,router,,[],[]
4521362.4752670005,1769347924342.5107,linux_poll,-100.0,11.3,router,,[],[]
4521411.393704999,1769347924391.4307,linux_poll,-100.0,11.3,router,,[],[]
4521462.685465,1769347924442.7214,linux_poll,-100.0,11.3,router,,[],[]
4521511.847411,1769347924491.8835,linux_poll,-100.0,11.5,router,,[],[]
4521558.840570999,1769347924538.8757,linux_poll,-100.0,11.2,router,,[],[]
4521609.728747999,1769347924589.765,linux_poll,-100.0,11.1,router,,[],[]
4521658.659132999,1769347924638.695,linux_poll,-100.0,11.3,router,,[],[]
4521713.843374,1769347924693.879,linux_poll,-100.0,11.5,router,,[],[]
4521759.887698,1769347924739.9233,linux_poll,-100.0,11.5,router,,[],[]
4521812.4201569995,1769347924792.4563,linux_poll,-100.0,11.3,router,,[],[]
4521861.932554,1769347924841.968,linux_poll,-100.0,10.9,router,,[],[]
4521911.703187,1769347924891.7383,linux_poll,-100.0,11.2,router,,[],[]
4521961.44505,1769347924941.4802,linux_poll,-100.0,11.3,router,,[],[]
4522012.828688,1769347924992.8645,linux_poll,-100.0,11.3,router,,[],[]
4522061.940378999,1769347925041.9758,linux_poll,-100.0,11.3,router,,[],[]
4522113.495128,1769347925093.5295,linux_poll,-100.0,11.4,router,,[],[]
4522165.90849,1769347925145.9421,linux_poll,-100.0,11.2,router,,[],[]
4522210.341887999,1769347925190.3787,linux_poll,-100.0,11.2,router,,[],[]
4522264.523136999,1769347925244.5576,linux_poll,-100.0,11.6,router,,[],[]
4522315.935022,1769347925295.9702,linux_poll,-100.0,11.2,router,,[],[]
4522365.971623001,1769347925346.0068,linux_poll,-100.0,11.1,router,,[],[]
4522417.367098,1769347925397.4026,linux_poll,-100.0,12.4,router,,[],[]
4522463.421835001,1769347925443.457,linux_poll,-100.0,11.4,router,,[],[]
4522512.73188,1769347925492.7676,linux_poll,-100.0,11.5,router,,[],[]
4522564.991135,1769347925545.0261,linux_poll,-100.0,11.4,router,,[],[]
4522615.872213,1769347925595.9087,linux_poll,-100.0,11.5,router,,[],[]
4522665.52258,1769347925645.5576,linux_poll,-100.0,11.4,router,,[],[]
4522714.637643,1769347925694.6738,linux_poll,-100.0,11.1,router,,[],[]
4522766.407004,1769347925746.4421,linux_poll,-100.0,11.1,router,,[],[]
4522815.261226,1769347925795.2964,linux_poll,-100.0,11.7,router,,[],[]
4522863.423757001,1769347925843.4595,linux_poll,-100.0,10.7,router,,[],[]
4522913.48365,1769347925893.519,linux_poll,-100.0,11.3,router,,[],[]
4522966.282981001,1769347925946.3171,linux_poll,-100.0,11.3,router,,[],[]
4523016.637382001,1769347925996.6729,linux_poll,-100.0,11.4,router,,[],[]
4523066.741839,1769347926046.7769,linux_poll,-100.0,11.6,router,,[],[]
4523116.247901,1769347926096.2842,linux_poll,-100.0,11.4,router,,[],[]
4523167.760685,1769347926147.7954,linux_poll,-100.0,11.4,router,,[],[]
4523218.318885,1769347926198.3545,linux_poll,-100.0,14.1,router,,[],[]
4523265.279031999,1769347926245.3145,linux_poll,-100.0,11.6,router,,[],[]
4523317.340323,1769347926297.3757,linux_poll,-100.0,11.3,router,,[],[]
4523360.14398,1769347926340.1814,linux_poll,-100.0,11.4,router,,[],[]
4523404.10848,1769347926384.1418,linux_poll,-100.0,11.2,router,,[],[]
4523466.360049,1769347926446.3953,linux_poll,-100.0,11.5,router,,[],[]
4523517.738951,1769347926497.7737,linux_poll,-100.0,11.0,router,,[],[]
4523567.814189999,1769347926547.8486,linux_poll,-100.0,11.2,router,,[],[]
4523615.1938000005,1769347926595.2297,linux_poll,-100.0,11.3,router,,[],[]
4523663.668659,1769347926643.703,linux_poll,-100.0,11.4,router,,[],[]
4523715.767054,1769347926695.8032,linux_poll,-100.0,11.3,router,,[],[]
4523769.232159,1769347926749.2686,linux_poll,-100.0,11.1,router,,[],[]
4523816.675868,1769347926796.711,linux_poll,-100.0,11.2,router,,[],[]
4523865.7031849995,1769347926845.7378,linux_poll,-100.0,11.4,router,,[],[]
4523917.237461,1769347926897.2727,linux_poll,-100.0,11.5,router,,[],[]
4523968.68638,1769347926948.7224,linux_poll,-100.0,11.5,router,,[],[]
4524018.726472,1769347926998.7612,linux_poll,-100.0,11.1,router,,[],[]
4524068.22479,1769347927048.2595,linux_poll,-100.0,11.4,router,,[],[]
4524118.674361,1769347927098.7087,linux_poll,-100.0,11.3,router,,[],[]
4524167.848525001,1769347927147.8828,linux_poll,-100.0,11.3,router,,[],[]
4524217.124112001,1769347927197.159,linux_poll,-100.0,10.9,router,,[],[]
4524266.710273,1769347927246.7456,linux_poll,-100.0,11.4,router,,[],[]
4524320.713528,1769347927300.7485,linux_poll,-100.0,11.6,router,,[],[]
4524367.434075001,1769347927347.4683,linux_poll,-100.0,12.0,router,,[],[]
4524417.535216999,1769347927397.5713,linux_poll,-100.0,11.5,router,,[],[]
4524469.2900290005,1769347927449.3254,linux_poll,-100.0,11.2,router,,[],[]
4524520.7336450005,1769347927500.768,linux_poll,-100.0,11.4,router,,[],[]
4524570.345911,1769347927550.3816,linux_poll,-100.0,11.2,router,,[],[]
4524620.248119,1769347927600.2842,linux_poll,-100.0,11.3,router,,[],[]
4524669.711046,1769347927649.7463,linux_poll,-100.0,11.2,router,,[],[]
4524720.297535,1769347927700.333,linux_poll,-100.0,11.2,router,,[],[]
4524769.728147,1769347927749.7634,linux_poll,-100.0,11.5,router,,[],[]
4524817.807392,1769347927797.8442,linux_poll,-100.0,11.2,router,,[],[]
4524865.813032,1769347927845.848,linux_poll,-100.0,11.4,router,,[],[]
4524915.817511,1769347927895.8528,linux_poll,-100.0,11.5,router,,[],[]
4524970.347499,1769347927950.3833,linux_poll,-100.0,11.1,router,,[],[]
4525019.704423,1769347927999.7405,linux_poll,-100.0,11.2,router,,[],[]
4525071.276183,1769347928051.312,linux_poll,-100.0,11.7,router,,[],[]
4525121.750445,1769347928101.7861,linux_poll,-100.0,11.2,router,,[],[]
4525170.700234,1769347928150.735,linux_poll,-100.0,11.1,router,,[],[]
4525228.328807999,1769347928208.364,linux_poll,-100.0,18.8,router,,[],[]
4525269.3316089995,1769347928249.3672,linux_poll,-100.0,11.5,router,,[],[]
4525320.828287,1769347928300.8625,linux_poll,-100.0,11.3,router,,[],[]
4525372.28437,1769347928352.3198,linux_poll,-100.0,11.2,router,,[],[]
4525422.232550001,1769347928402.2678,linux_poll,-100.0,11.4,router,,[],[]
4525467.297989001,1769347928447.3315,linux_poll,-100.0,11.3,router,,[],[]
4525522.342455001,1769347928502.3774,linux_poll,-100.0,11.1,router,,[],[]
4525572.4626629995,1769347928552.498,linux_poll,-100.0,11.4,router,,[],[]
4525620.92318,1769347928600.9583,linux_poll,-100.0,11.1,router,,[],[]
4525672.314753,1769347928652.351,linux_poll,-100.0,11.0,router,,[],[]
4525722.995624,1769347928703.0312,linux_poll,-100.0,11.1,router,,[],[]
4525772.8759159995,1769347928752.9114,linux_poll,-100.0,11.3,router,,[],[]
4525820.818956,1769347928800.8557,linux_poll,-100.0,11.4,router,,[],[]
4525871.948742,1769347928851.9846,linux_poll,-100.0,11.2,router,,[],[]
4525915.771432,1769347928895.8071,linux_poll,-100.0,11.1,router,,[],[]
4525971.649182,1769347928951.6843,linux_poll,-100.0,11.5,router,,[],[]
4526020.5370849995,1769347929000.5723,linux_poll,-100.0,11.4,router,,[],[]
4526072.658735,1769347929052.6948,linux_poll,-100.0,11.3,router,,[],[]
4526124.889304999,1769347929104.9238,linux_poll,-100.0,11.2,router,,[],[]
4526171.020575,1769347929151.0408,linux_poll,-100.0,11.4,router,,[],[]
4526223.396563,1769347929203.433,linux_poll,-100.0,11.3,router,,[],[]
4526274.536222001,1769347929254.572,linux_poll,-100.0,11.4,router,,[],[]
4526324.83072,1769347929304.8665,linux_poll,-100.0,12.1,router,,[],[]
4526374.98107,1769347929355.0168,linux_poll,-100.0,11.6,router,,[],[]
4526421.508643,1769347929401.5454,linux_poll,-100.0,11.5,router,,[],[]
4526474.435808,1769347929454.4717,linux_poll,-100.0,11.1,router,,[],[]
4526523.868935,1769347929503.905,linux_poll,-100.0,11.2,router,,[],[]
4526574.76245,1769347929554.7976,linux_poll,-100.0,11.1,router,,[],[]
4526623.8729220005,1769347929603.9087,linux_poll,-100.0,11.1,router,,[],[]
4526672.941497,1769347929652.977,linux_poll,-100.0,11.4,router,,[],[]
4526726.607508,1769347929706.6438,linux_poll,-100.0,11.2,router,,[],[]
4526776.095722,1769347929756.1313,linux_poll,-100.0,12.2,router,,[],[]
4526823.949779999,1769347929803.9858,linux_poll,-100.0,11.3,router,,[],[]
4526875.908438,1769347929855.9421,linux_poll,-100.0,11.5,router,,[],[]
4526920.897181001,1769347929900.9326,linux_poll,-100.0,11.4,router,,[],[]
4526978.6946020005,1769347929958.7278,linux_poll,-100.0,11.2,router,,[],[]
4527022.470105,1769347930002.5066,linux_poll,-100.0,11.6,router,,[],[]
4527074.685742,1769347930054.72,linux_poll,-100.0,11.2,router,,[],[]
4527126.513145,1769347930106.5476,linux_poll,-100.0,11.4,router,,[],[]
4527174.525227999,1769347930154.5571,linux_poll,-100.0,11.0,router,,[],[]
4527223.456145,1769347930203.4922,linux_poll,-100.0,11.1,router,,[],[]
4527275.537887,1769347930255.5725,linux_poll,-100.0,11.3,router,,[],[]
4527326.462691001,1769347930306.4966,linux_poll,-100.0,11.5,router,,[],[]
4527375.514514999,1769347930355.5479,linux_poll,-100.0,11.2,router,,[],[]
4527424.311016,1769347930404.3472,linux_poll,-100.0,11.2,router,,[],[]
4527464.931996,1769347930444.9678,linux_poll,-100.0,11.5,router,,[],[]
4527525.665508,1769347930505.7007,linux_poll,-100.0,11.3,router,,[],[]
4527577.908918,1769347930557.9436,linux_poll,-100.0,11.1,router,,[],[]
4527625.866164001,1769347930605.902,linux_poll,-100.0,11.5,router,,[],[]
4527674.909264,1769347930654.9438,linux_poll,-100.0,11.4,router,,[],[]
4527725.946101,1769347930705.9802,linux_poll,-100.0,11.4,router,,[],[]
4527776.941328,1769347930756.9758,linux_poll,-100.0,11.5,router,,[],[]
4527827.221666,1769347930807.2576,linux_poll,-100.0,11.1,router,,[],[]
4527875.7169820005,1769347930855.7532,linux_poll,-100.0,11.1,router,,[],[]
4527926.399369,1769347930906.435,linux_poll,-100.0,11.2,router,,[],[]
4527977.575166,1769347930957.609,linux_poll,-100.0,11.4,router,,[],[]
4528027.489307,1769347931007.5254,linux_poll,-100.0,11.5,router,,[],[]
4528077.473207001,1769347931057.5085,linux_poll,-100.0,11.3,router,,[],[]
4528127.980254999,1769347931108.015,linux_poll,-100.0,11.3,router,,[],[]
4528177.779418,1769347931157.8147,linux_poll,-100.0,11.5,router,,[],[]
4528226.579021,1769347931206.6155,linux_poll,-100.0,11.2,router,,[],[]
4528279.833175,1769347931259.8687,linux_poll,-100.0,11.5,router,,[],[]
4528328.706443,1769347931308.743,linux_poll,-100.0,11.1,router,,[],[]
4528378.698832,1769347931358.7344,linux_poll,-100.0,11.4,router,,[],[]
4528428.61747,1769347931408.6533,linux_poll,-100.0,11.6,router,,[],[]
4528479.6649899995,1769347931459.7,linux_poll,-100.0,11.5,router,,[],[]
4528529.267987,1769347931509.3025,linux_poll,-100.0,11.4,router,,[],[]
4528580.202897,1769347931560.238,linux_poll,-100.0,11.5,router,,[],[]
4528627.201146,1769347931607.236,linux_poll,-100.0,11.4,router,,[],[]
4528676.593974,1769347931656.6304,linux_poll,-100.0,11.3,router,,[],[]
4528729.326685,1769347931709.3623,linux_poll,-100.0,11.4,router,,[],[]
4528780.298781,1769347931760.3333,linux_poll,-100.0,11.3,router,,[],[]
4528831.225872,1769347931811.2617,linux_poll,-100.0,11.3,router,,[],[]
4528878.631879,1769347931858.6677,linux_poll,-100.0,11.3,router,,[],[]
4528929.703883,1769347931909.7378,linux_poll,-100.0,11.5,router,,[],[]
4528980.321161,1769347931960.3555,linux_poll,-100.0,11.5,router,,[],[]
4529030.595452,1769347932010.6316,linux_poll,-100.0,11.4,router,,[],[]
4529078.209778001,1769347932058.2456,linux_poll,-100.0,11.4,router,,[],[]
4529129.254878,1769347932109.29,linux_poll,-100.0,11.1,router,,[],[]
4529180.329221,1769347932160.365,linux_poll,-100.0,11.1,router,,[],[]
4529230.081387,1769347932210.1167,linux_poll,-100.0,11.2,router,,[],[]
4529277.690947,1769347932257.726,linux_poll,-100.0,11.4,router,,[],[]
4529331.965002,1769347932312.0,linux_poll,-100.0,11.2,router,,[],[]
4529380.192683999,1769347932360.228,linux_poll,-100.0,11.2,router,,[],[]
4529431.780048001,1769347932411.8152,linux_poll,-100.0,11.3,router,,[],[]
4529478.650354,1769347932458.6863,linux_poll,-100.0,11.4,router,,[],[]
4529531.672468,1769347932511.7065,linux_poll,-100.0,11.4,router,,[],[]
4529581.802306999,1769347932561.8352,linux_poll,-100.0,11.5,router,,[],[]
4529631.644647,1769347932611.68,linux_poll,-100.0,11.3,router,,[],[]
4529676.145569,1769347932656.1807,linux_poll,-100.0,11.2,router,,[],[]
4529733.759218,1769347932713.793,linux_poll,-100.0,11.2,router,,[],[]
4529783.114701999,1769347932763.1477,linux_poll,-100.0,11.2,router,,[],[]
4529832.859052,1769347932812.8948,linux_poll,-100.0,11.3,router,,[],[]
4529881.42032,1769347932861.456,linux_poll,-100.0,11.2,router,,[],[]
4529931.984526,1769347932912.0205,linux_poll,-100.0,11.6,router,,[],[]
4529984.594456,1769347932964.6294,linux_poll,-100.0,11.5,router,,[],[]
4530034.378721001,1769347933014.4138,linux_poll,-100.0,11.4,router,,[],[]
4530082.871592,1769347933062.9072,linux_poll,-100.0,11.5,router,,[],[]
4530134.465621999,1769347933114.5,linux_poll,-100.0,11.3,router,,[],[]
4530182.864783,1769347933162.8997,linux_poll,-100.0,11.5,router,,[],[]
4530232.8060139995,1769347933212.8418,linux_poll,-100.0,11.0,router,,[],[]
4530281.856197,1769347933261.8928,linux_poll,-100.0,11.4,router,,[],[]
4530327.317905,1769347933307.3542,linux_poll,-100.0,11.3,router,,[],[]
