frame_index,timestamp_monotonic_ms,timestamp_wall_ms
0,4514341.252542,1769347917321.2996
1,4514467.13041,1769347917447.1753
2,4514535.691637999,1769347917515.7405
3,4514567.205442,1769347917547.2515
4,4514603.420879,1769347917583.4656
5,4514667.172288,1769347917647.2158
6,4514703.200117,1769347917683.2456
7,4514735.539972,1769347917715.5862
8,4514767.559298,1769347917747.6052
9,4514803.506498001,1769347917783.5522
10,4514867.483891999,1769347917847.5298
11,4514903.4342249995,1769347917883.4792
12,4514935.483762001,1769347917915.5298
13,4514967.509371,1769347917947.5552
14,4515035.6116430005,1769347918015.6572
15,4515067.4011780005,1769347918047.4456
16,4515103.598689999,1769347918083.644
17,4515135.580022,1769347918115.6265
18,4515167.376281,1769347918147.4211
19,4515235.611893,1769347918215.6575
20,4515267.469925,1769347918247.5159
21,4515303.498562,1769347918283.544
22,4515335.55709,1769347918315.602
23,4515403.51351,1769347918383.5596
24,4515435.624036,1769347918415.6707
25,4515467.443423,1769347918447.4897
26,4515503.470619,1769347918483.515
27,4515567.447232,1769347918547.4924
28,4515603.476078,1769347918583.5208
29,4515635.613001,1769347918615.6584
30,4515667.325108,1769347918647.3696
31,4515703.515701,1769347918683.56
32,4515767.473801999,1769347918747.52
33,4515803.538999,1769347918783.5845
34,4515835.512941,1769347918815.558
35,4515867.373771,1769347918847.4187
36,4515935.556701,1769347918915.6035
37,4515967.364248,1769347918947.41
38,4516003.459864001,1769347918983.5059
39,4516035.515174,1769347919015.56
40,4516067.220934,1769347919047.266
41,4516135.573671999,1769347919115.6204
42,4516167.356429,1769347919147.403
43,4516203.454966,1769347919183.4993
44,4516267.4036,1769347919247.4507
45,4516303.447102999,1769347919283.4927
46,4516335.583156,1769347919315.6284
47,4516367.40496,1769347919347.45
48,4516403.465636,1769347919383.5107
49,4516467.325812,1769347919447.372
50,4516503.497231,1769347919483.5432
51,4516535.598057,1769347919515.644
52,4516567.34942,1769347919547.3948
53,4516603.466788,1769347919583.5122
54,4516667.3580289995,1769347919647.4026
55,4516703.536046,1769347919683.5823
56,4516735.565276,1769347919715.611
57,4516767.369156,1769347919747.4143
58,4516835.579337999,1769347919815.625
59,4516867.387955,1769347919847.4336
60,4516903.50803,1769347919883.5532
61,4516935.492202,1769347919915.5378
62,4516967.251655,1769347919947.297
63,4517035.225566,1769347920015.27
64,4517067.208212,1769347920047.2524
65,4517103.282403,1769347920083.3257
66,4517135.4420219995,1769347920115.4863
67,4517167.330473,1769347920147.375
68,4517203.44294,1769347920183.487
69,4517267.414039,1769347920247.4614
70,4517303.753559,1769347920283.7988
71,4517335.5337229995,1769347920315.5798
72,4517367.286650999,1769347920347.332
73,4517435.595639,1769347920415.6414
74,4517467.325751999,1769347920447.3713
75,4517503.522315,1769347920483.5686
76,4517535.417482001,1769347920515.463
77,4517567.337155,1769347920547.3823
78,4517635.355262,1769347920615.4014
79,4517667.238577,1769347920647.283
80,4517703.518552,1769347920683.5635
81,4517735.5056,1769347920715.5508
82,4517767.367213001,1769347920747.412
83,4517803.457962,1769347920783.5034
84,4517867.403639,1769347920847.4495
85,4517903.542215999,1769347920883.5872
86,4517935.457565,1769347920915.5034
87,4517967.385934999,1769347920947.431
88,4518003.522609,1769347920983.5684
89,4518067.381474,1769347921047.4272
90,4518103.527631001,1769347921083.574
91,4518135.399742,1769347921115.444
92,4518167.353921,1769347921147.3987
93,4518203.647352,1769347921183.6926
94,4518267.332284,1769347921247.3784
95,4518303.978385,1769347921284.0237
96,4518335.552746,1769347921315.5977
97,4518367.388337,1769347921347.4338
98,4518435.453931,1769347921415.4995
99,4518467.473522,1769347921447.52
100,4518503.584892,1769347921483.632
101,4518535.492168,1769347921515.5369
102,4518567.451355999,1769347921547.498
103,4518603.637773,1769347921583.6836
104,4518667.414956001,1769347921647.4604
105,4518703.604802,1769347921683.651
106,4518735.370604,1769347921715.4158
107,4518767.3892439995,1769347921747.4338
108,4518835.285170999,1769347921815.3296
109,4518867.386631,1769347921847.432
110,4518903.543578,1769347921883.5886
111,4518935.356664999,1769347921915.4011
112,4518967.386031,1769347921947.431
113,4519035.219139,1769347922015.2637
114,4519067.391449,1769347922047.436
115,4519103.558941999,1769347922083.6042
116,4519135.577596,1769347922115.6228
117,4519167.591356,1769347922147.636
118,4519235.420057,1769347922215.4663
119,4519267.397419,1769347922247.4421
120,4519303.730599999,1769347922283.7773
121,4519335.352607,1769347922315.3972
122,4519367.418514,1769347922347.4631
123,4519435.435674,1769347922415.4814
124,4519467.442806,1769347922447.487
125,4519503.519285,1769347922483.5652
126,4519535.402175,1769347922515.4475
127,4519567.429955,1769347922547.475
128,4519635.437801,1769347922615.4832
129,4519667.407425,1769347922647.4526
130,4519703.614390001,1769347922683.6611
131,4519735.412022,1769347922715.4565
132,4519767.407211,1769347922747.4514
133,4519835.465098,1769347922815.5107
134,4519867.424903,1769347922847.4707
135,4519903.725268,1769347922883.7705
136,4519935.403275,1769347922915.4485
137,4519967.516018,1769347922947.561
138,4520035.409593,1769347923015.4548
139,4520067.436848001,1769347923047.4836
140,4520103.3837790005,1769347923083.4287
141,4520135.461015,1769347923115.5073
142,4520167.445582001,1769347923147.4912
143,4520235.446002,1769347923215.4912
144,4520267.440322,1769347923247.486
145,4520303.577637,1769347923283.6245
146,4520335.463976,1769347923315.5095
147,4520367.41333,1769347923347.458
148,4520435.368909,1769347923415.415
149,4520467.452485,1769347923447.4998
150,4520503.487877999,1769347923483.5342
151,4520535.430507,1769347923515.476
152,4520603.572091999,1769347923583.6184
153,4520635.458421,1769347923615.5051
154,4520667.4502530005,1769347923647.4973
155,4520703.569192,1769347923683.6147
156,4520735.435796999,1769347923715.4812
157,4520803.490348999,1769347923783.536
158,4520835.435644001,1769347923815.482
159,4520867.464447999,1769347923847.5112
160,4520903.540534999,1769347923883.5864
161,4520935.467842001,1769347923915.5132
162,4521003.675221,1769347923983.7214
163,4521035.486577,1769347924015.5322
164,4521067.622874999,1769347924047.6677
165,4521103.608808,1769347924083.6548
166,4521135.446088,1769347924115.491
167,4521203.578418,1769347924183.6252
168,4521235.383104,1769347924215.4275
169,4521267.658867,1769347924247.7039
170,4521303.523047,1769347924283.5686
171,4521367.508369,1769347924347.5544
172,4521403.516063,1769347924383.562
173,4521435.313467,1769347924415.3586
174,4521467.4815569995,1769347924447.5266
175,4521503.448871,1769347924483.4941
176,4521567.499414,1769347924547.5452
177,4521603.445785,1769347924583.491
178,4521635.358903,1769347924615.4028
179,4521667.536402999,1769347924647.5842
180,4521703.398914,1769347924683.444
181,4521735.351919,1769347924715.3965
182,4521803.548411,1769347924783.5942
183,4521835.440621,1769347924815.4854
184,4521867.6218179995,1769347924847.668
185,4521903.488871001,1769347924883.5337
186,4521935.374699,1769347924915.4202
187,4522003.54952,1769347924983.5955
188,4522035.396649,1769347925015.4414
189,4522067.4948619995,1769347925047.541
190,4522103.545183999,1769347925083.5918
191,4522135.4714669995,1769347925115.517
192,4522203.440932,1769347925183.4856
193,4522235.520322001,1769347925215.5671
194,4522267.517814,1769347925247.565
195,4522303.393689,1769347925283.439
196,4522335.432119,1769347925315.477
197,4522403.3761950005,1769347925383.421
198,4522435.335135,1769347925415.3794
199,4522467.494247,1769347925447.5403
200,4522503.390995,1769347925483.4363
201,4522535.49462,1769347925515.5393
202,4522603.443682,1769347925583.4888
203,4522635.43837,1769347925615.4846
204,4522667.543031,1769347925647.5903
205,4522703.474126,1769347925683.519
206,4522735.48633,1769347925715.531
207,4522803.249038,1769347925783.2942
208,4522835.515295,1769347925815.5593
209,4522867.599722,1769347925847.6467
210,4522903.492152,1769347925883.5369
211,4522935.4426150005,1769347925915.4878
212,4523003.504458,1769347925983.5513
213,4523035.522031,1769347926015.5688
214,4523067.485792,1769347926047.5325
215,4523103.454349,1769347926083.4995
216,4523135.494015001,1769347926115.5383
217,4523203.451956,1769347926183.497
218,4523235.509014,1769347926215.5535
219,4523267.639087999,1769347926247.684
220,4523303.29648,1769347926283.3423
221,4523335.774115,1769347926315.8203
222,4523403.452384,1769347926383.5007
223,4523435.430949,1769347926415.4753
224,4523467.561675,1769347926447.6064
225,4523503.511376,1769347926483.5574
226,4523535.4980419995,1769347926515.5435
227,4523603.34055,1769347926583.385
228,4523635.453823,1769347926615.4993
229,4523667.50206,1769347926647.549
230,4523703.404113,1769347926683.4485
231,4523735.425807,1769347926715.4702
232,4523803.369242,1769347926783.414
233,4523835.471392,1769347926815.5164
234,4523867.561685,1769347926847.6094
235,4523903.501134,1769347926883.5469
236,4523935.50571,1769347926915.5508
237,4524003.444487,1769347926983.4912
238,4524035.445112,1769347927015.4902
239,4524067.479711,1769347927047.5273
240,4524103.389446,1769347927083.4365
241,4524135.508578,1769347927115.5542
242,4524203.484392,1769347927183.5303
243,4524235.438801,1769347927215.4841
244,4524267.577965,1769347927247.6233
245,4524303.385682,1769347927283.4321
246,4524335.525138,1769347927315.5706
247,4524403.43837,1769347927383.4846
248,4524435.463594,1769347927415.5083
249,4524467.468724,1769347927447.5142
250,4524503.447786,1769347927483.4937
251,4524567.437978,1769347927547.4832
252,4524603.387911,1769347927583.4338
253,4524635.4153040005,1769347927615.46
254,4524667.444927,1769347927647.4907
255,4524703.35998,1769347927683.4053
256,4524767.5536090005,1769347927747.5996
257,4524803.286253,1769347927783.3315
258,4524835.467127,1769347927815.5122
259,4524867.422016,1769347927847.4678
260,4524903.245858001,1769347927883.2898
261,4524967.453753,1769347927947.4993
262,4525003.390219,1769347927983.435
263,4525035.525626,1769347928015.5698
264,4525067.521121999,1769347928047.567
265,4525103.45035,1769347928083.4963
266,4525167.535726001,1769347928147.5837
267,4525203.307632,1769347928183.3538
268,4525235.3128579995,1769347928215.3574
269,4525267.433323,1769347928247.479
270,4525303.381306,1769347928283.4263
271,4525367.575425,1769347928347.6206
272,4525403.334151001,1769347928383.3794
273,4525435.512918999,1769347928415.5583
274,4525467.543857,1769347928447.5898
275,4525503.444713,1769347928483.4895
276,4525567.458314,1769347928547.5037
277,4525603.458374999,1769347928583.504
278,4525635.518812,1769347928615.5642
279,4525667.426435,1769347928647.4717
280,4525703.402279001,1769347928683.448
281,4525767.526971,1769347928747.5723
282,4525803.492149,1769347928783.5376
283,4525835.422982,1769347928815.4673
284,4525867.434453,1769347928847.4797
285,4525903.316494999,1769347928883.36
286,4525967.44261,1769347928947.4883
287,4526003.289192,1769347928983.3337
288,4526035.385746,1769347929015.4302
289,4526067.422189,1769347929047.4675
290,4526103.459957,1769347929083.5054
291,4526167.390442001,1769347929147.4365
292,4526203.380246,1769347929183.426
293,4526235.476746,1769347929215.5217
294,4526267.4297980005,1769347929247.4753
295,4526303.367278,1769347929283.413
296,4526367.37807,1769347929347.4238
297,4526403.352143,1769347929383.3975
298,4526435.402423,1769347929415.4468
299,4526467.402068,1769347929447.4465
300,4526503.415765,1769347929483.4612
301,4526567.5886039995,1769347929547.6343
302,4526603.470977999,1769347929583.518
303,4526635.55171,1769347929615.598
304,4526667.483646,1769347929647.5293
305,4526735.487377,1769347929715.532
306,4526767.496792,1769347929747.5427
307,4526803.365381,1769347929783.4116
308,4526835.718188999,1769347929815.7627
309,4526867.492009,1769347929847.538
310,4526903.267395,1769347929883.312
311,4526967.288016,1769347929947.3335
312,4527003.325131,1769347929983.371
313,4527035.607021,1769347930015.653
314,4527067.445449,1769347930047.4912
315,4527135.602393,1769347930115.6497
316,4527167.399958,1769347930147.4458
317,4527203.302602,1769347930183.3484
318,4527235.59078,1769347930215.638
319,4527267.353548,1769347930247.398
320,4527335.622998,1769347930315.6687
321,4527367.502944999,1769347930347.5493
322,4527403.382045001,1769347930383.428
323,4527435.374857999,1769347930415.4194
324,4527467.542354,1769347930447.589
325,4527535.588622,1769347930515.6335
326,4527567.477958,1769347930547.5244
327,4527603.437861,1769347930583.4846
328,4527635.4593710005,1769347930615.5046
329,4527667.369961999,1769347930647.415
330,4527736.782782,1769347930716.8286
331,4527767.4929329995,1769347930747.539
332,4527803.378091999,1769347930783.4238
333,4527835.625189,1769347930815.67
334,4527867.449933,1769347930847.4946
335,4527935.752352,1769347930915.7969
336,4527967.444668001,1769347930947.4902
337,4528003.412794,1769347930983.4585
338,4528036.024986,1769347931016.07
339,4528067.474061,1769347931047.5195
340,4528136.165268,1769347931116.21
341,4528167.553185,1769347931147.599
342,4528203.494497,1769347931183.5408
343,4528235.588964,1769347931215.634
344,4528303.4035680005,1769347931283.4492
345,4528335.485242,1769347931315.5298
346,4528367.450504,1769347931347.4958
347,4528403.41496,1769347931383.46
348,4528435.47142,1769347931415.5173
349,4528503.347275999,1769347931483.3926
350,4528535.453238,1769347931515.5005
351,4528567.403203,1769347931547.4487
352,4528603.35229,1769347931583.3972
353,4528635.48988,1769347931615.5344
354,4528703.367098,1769347931683.4128
355,4528735.530919,1769347931715.5757
356,4528767.384524,1769347931747.4302
357,4528803.309619,1769347931783.355
358,4528867.457744,1769347931847.5032
359,4528903.391623,1769347931883.4375
360,4528935.717809,1769347931915.7646
361,4528967.446079,1769347931947.4915
362,4529003.305567999,1769347931983.3516
363,4529067.442474999,1769347932047.4878
364,4529103.383421,1769347932083.4282
365,4529135.549988,1769347932115.5964
366,4529167.354031,1769347932147.3987
367,4529203.535118001,1769347932183.5815
368,4529267.408742,1769347932247.4546
369,4529303.625063,1769347932283.671
370,4529335.525337,1769347932315.5728
371,4529367.39163,1769347932347.4365
372,4529403.4071309995,1769347932383.4521
373,4529467.266501999,1769347932447.3135
374,4529503.421367,1769347932483.4678
375,4529535.635954,1769347932515.6821
376,4529567.4598819995,1769347932547.5063
377,4529603.3721940005,1769347932583.4187
378,4529667.444207,1769347932647.4897
379,4529703.4467670005,1769347932683.493
380,4529735.5657669995,1769347932715.6118
381,4529767.356291001,1769347932747.4011
382,4529803.422015999,1769347932783.4675
383,4529867.46185,1769347932847.508
384,4529903.446273,1769347932883.4907
385,4529935.558259,1769347932915.6033
386,4529967.388063,1769347932947.4338
387,4530003.545012,1769347932983.591
388,4530067.465449001,1769347933047.5117
389,4530103.561947,1769347933083.607
390,4530135.507704,1769347933115.5535
391,4530167.413112,1769347933147.4587
392,4530235.489584,1769347933215.534
393,4530267.415907,1769347933247.4617
394,4530303.386476999,1769347933283.43
395,4530335.5622890005,1769347933315.6072
396,4530367.346034,1769347933347.3904
397,4530435.568523,1769347933415.6135
398,4530467.295815,1769347933447.3408
399,4530503.42736,1769347933483.4717
400,4530535.538964,1769347933515.5854
401,4530567.411399,1769347933547.4565
402,4530635.522583,1769347933615.5686
403,4530667.416437,1769347933647.4631
404,4530703.477754001,1769347933683.5237
405,4530735.522948,1769347933715.568
406,4530767.399817,1769347933747.4453
407,4530835.418382,1769347933815.4636
408,4530867.459632,1769347933847.5044
409,4530903.416222,1769347933883.4607
410,4530935.582203,1769347933915.6274
411,4530967.373771,1769347933947.4182
412,4531035.561198,1769347934015.6067
413,4531067.402205,1769347934047.4475
414,4531103.422083,1769347934083.467
415,4531135.562474,1769347934115.6074
416,4531167.394758999,1769347934147.4392
417,4531235.475206,1769347934215.521
418,4531267.389788001,1769347934247.4355
419,4531303.463836,1769347934283.5098
420,4531335.556684,1769347934315.602
421,4531367.299934,1769347934347.3438
422,4531435.292235,1769347934415.3364
423,4531467.441177,1769347934447.487
424,4531503.468166,1769347934483.5137
425,4531535.553915,1769347934515.5989
426,4531567.313804001,1769347934547.3591
427,4531635.555064,1769347934615.5996
428,4531667.363653,1769347934647.4097
429,4531703.484012,1769347934683.53
430,4531735.572691,1769347934715.6187
431,4531767.2495019995,1769347934747.2944
432,4531835.673685,1769347934815.7195
433,4531867.402230999,1769347934847.4495
434,4531903.452943999,1769347934883.4988
435,4531935.615749001,1769347934915.6611
