timestamp_monotonic_ms,timestamp_device_ms,source,rssi,rtt_ms,mac_address,ssid,csi_amp,csi_phase
4405758.147306,1769347808738.1807,linux_poll,-100.0,11.3,router,,[],[]
4405801.336041,1769347808781.3706,linux_poll,-100.0,11.2,router,,[],[]
4405848.795855001,1769347808828.8303,linux_poll,-100.0,11.3,router,,[],[]
4405899.507752,1769347808879.5425,linux_poll,-100.0,11.2,router,,[],[]
4405951.439216,1769347808931.4753,linux_poll,-100.0,11.4,router,,[],[]
4405996.798414,1769347808976.8335,linux_poll,-100.0,11.1,router,,[],[]
4406049.99407,1769347809030.0303,linux_poll,-100.0,11.3,router,,[],[]
4406102.908963,1769347809082.9453,linux_poll,-100.0,11.5,router,,[],[]
4406150.850451,1769347809130.8872,linux_poll,-100.0,11.3,router,,[],[]
4406199.924075999,1769347809179.959,linux_poll,-100.0,11.2,router,,[],[]
4406251.624965,1769347809231.6604,linux_poll,-100.0,11.6,router,,[],[]
4406302.567415,1769347809282.6028,linux_poll,-100.0,11.0,router,,[],[]
4406351.212417999,1769347809331.2493,linux_poll,-100.0,11.1,router,,[],[]
4406401.893708,1769347809381.9287,linux_poll,-100.0,11.1,router,,[],[]
4406453.339394,1769347809433.375,linux_poll,-100.0,10.7,router,,[],[]
4406502.592967999,1769347809482.628,linux_poll,-100.0,11.4,router,,[],[]
4406552.445628,1769347809532.4822,linux_poll,-100.0,10.8,router,,[],[]
4406602.773057001,1769347809582.8074,linux_poll,-100.0,11.1,router,,[],[]
4406652.667202,1769347809632.7034,linux_poll,-100.0,11.0,router,,[],[]
4406702.49978,1769347809682.5342,linux_poll,-100.0,11.2,router,,[],[]
4406748.741782,1769347809728.7786,linux_poll,-100.0,11.5,router,,[],[]
4406799.804966999,1769347809779.84,linux_poll,-100.0,11.4,router,,[],[]
4406850.898467,1769347809830.9343,linux_poll,-100.0,11.4,router,,[],[]
4406901.773247,1769347809881.8083,linux_poll,-100.0,11.1,router,,[],[]
4406950.792853001,1769347809930.8286,linux_poll,-100.0,11.1,router,,[],[]
4407003.296709,1769347809983.3328,linux_poll,-100.0,11.5,router,,[],[]
4407051.161336,1769347810031.1975,linux_poll,-100.0,11.2,router,,[],[]
4407103.78162,1769347810083.8174,linux_poll,-100.0,11.2,router,,[],[]
4407342.981724001,1769347810323.0168,linux_poll,-100.0,-1.0,router,,[],[]
4407382.715773,1769347810362.7515,linux_poll,-100.0,11.2,router,,[],[]
4407434.997108,1769347810415.0334,linux_poll,-100.0,11.1,router,,[],[]
4407484.590565,1769347810464.6257,linux_poll,-100.0,11.1,router,,[],[]
4407535.086886,1769347810515.1226,linux_poll,-100.0,11.3,router,,[],[]
4407583.2768749995,1769347810563.313,linux_poll,-100.0,11.2,router,,[],[]
4407635.862471,1769347810615.8997,linux_poll,-100.0,11.1,router,,[],[]
4407681.934138,1769347810661.9707,linux_poll,-100.0,11.1,router,,[],[]
4407736.653352,1769347810716.688,linux_poll,-100.0,11.4,router,,[],[]
4407787.1905310005,1769347810767.2258,linux_poll,-100.0,11.4,router,,[],[]
4407836.184443,1769347810816.2195,linux_poll,-100.0,11.2,router,,[],[]
4407887.0642760005,1769347810867.0999,linux_poll,-100.0,11.3,router,,[],[]
4407936.714978999,1769347810916.7507,linux_poll,-100.0,11.2,router,,[],[]
4407987.071037,1769347810967.106,linux_poll,-100.0,11.5,router,,[],[]
4408036.594331,1769347811016.6318,linux_poll,-100.0,11.2,router,,[],[]
4408088.657595,1769347811068.693,linux_poll,-100.0,11.4,router,,[],[]
4408137.078834,1769347811117.1138,linux_poll,-100.0,11.2,router,,[],[]
4408187.628857,1769347811167.664,linux_poll,-100.0,11.3,router,,[],[]
4408236.046349,1769347811216.0842,linux_poll,-100.0,11.2,router,,[],[]
4408285.053747,1769347811265.0896,linux_poll,-100.0,11.4,router,,[],[]
4408338.675805,1769347811318.712,linux_poll,-100.0,11.1,router,,[],[]
4408388.822988001,1769347811368.8584,linux_poll,-100.0,11.3,router,,[],[]
4408435.991321,1769347811416.028,linux_poll,-100.0,11.1,router,,[],[]
4408488.553696,1769347811468.5898,linux_poll,-100.0,11.3,router,,[],[]
4408538.686623001,1769347811518.7227,linux_poll,-100.0,11.2,router,,[],[]
4408589.047778,1769347811569.0837,linux_poll,-100.0,11.2,router,,[],[]
4408638.132107,1769347811618.168,linux_poll,-100.0,11.1,router,,[],[]
4408685.487094,1769347811665.523,linux_poll,-100.0,11.1,router,,[],[]
4408739.07067,1769347811719.1074,linux_poll,-100.0,11.4,router,,[],[]
4408785.080659,1769347811765.1155,linux_poll,-100.0,11.4,router,,[],[]
4408838.59865,1769347811818.634,linux_poll,-100.0,11.0,router,,[],[]
4408887.108127,1769347811867.1426,linux_poll,-100.0,10.7,router,,[],[]
4408940.612338,1769347811920.6477,linux_poll,-100.0,11.3,router,,[],[]
4408988.077985999,1769347811968.1138,linux_poll,-100.0,11.2,router,,[],[]
4409038.974379,1769347812019.011,linux_poll,-100.0,11.1,router,,[],[]
4409077.049374,1769347812057.0845,linux_poll,-100.0,11.5,router,,[],[]
4409139.561815,1769347812119.5977,linux_poll,-100.0,10.8,router,,[],[]
4409193.205071,1769347812173.2363,linux_poll,-100.0,11.4,router,,[],[]
4409239.631402,1769347812219.6672,linux_poll,-100.0,11.4,router,,[],[]
4409286.544213,1769347812266.58,linux_poll,-100.0,11.0,router,,[],[]
4409336.998359,1769347812317.0337,linux_poll,-100.0,11.3,router,,[],[]
4409390.358782,1769347812370.3926,linux_poll,-100.0,11.1,router,,[],[]
4409441.775151,1769347812421.8103,linux_poll,-100.0,11.5,router,,[],[]
4409489.486377,1769347812469.5225,linux_poll,-100.0,11.0,router,,[],[]
4409540.664332001,1769347812520.6997,linux_poll,-100.0,11.3,router,,[],[]
4409592.099303001,1769347812572.1348,linux_poll,-100.0,11.2,router,,[],[]
4409640.623105,1769347812620.6584,linux_poll,-100.0,11.3,router,,[],[]
4409687.800185,1769347812667.836,linux_poll,-100.0,11.1,router,,[],[]
4409740.748187,1769347812720.7834,linux_poll,-100.0,11.4,router,,[],[]
4409792.19979,1769347812772.235,linux_poll,-100.0,11.4,router,,[],[]
4409842.556677001,1769347812822.5913,linux_poll,-100.0,11.3,router,,[],[]
4409890.799032001,1769347812870.8342,linux_poll,-100.0,11.1,router,,[],[]
4409942.086267,1769347812922.1196,linux_poll,-100.0,11.3,router,,[],[]
4409990.728574,1769347812970.7634,linux_poll,-100.0,11.1,router,,[],[]
4410042.045415,1769347813022.0815,linux_poll,-100.0,11.1,router,,[],[]
4410087.578555,1769347813067.6128,linux_poll,-100.0,11.1,router,,[],[]
4410140.739027,1769347813120.774,linux_poll,-100.0,11.1,router,,[],[]
4410192.299617,1769347813172.3335,linux_poll,-100.0,11.5,router,,[],[]
4410244.589106,1769347813224.6235,linux_poll,-100.0,12.3,router,,[],[]
4410290.556656,1769347813270.592,linux_poll,-100.0,11.2,router,,[],[]
4410343.053223001,1769347813323.089,linux_poll,-100.0,11.0,router,,[],[]
4410393.725742999,1769347813373.762,linux_poll,-100.0,11.3,router,,[],[]
4410442.669654001,1769347813422.705,linux_poll,-100.0,11.5,router,,[],[]
4410494.560739,1769347813474.5962,linux_poll,-100.0,11.1,router,,[],[]
4410540.991181999,1769347813521.028,linux_poll,-100.0,11.4,router,,[],[]
4410593.606953,1769347813573.6416,linux_poll,-100.0,11.4,router,,[],[]
4410642.667915,1769347813622.7034,linux_poll,-100.0,11.3,router,,[],[]
4410692.978246001,1769347813673.0137,linux_poll,-100.0,11.2,router,,[],[]
4410743.625725,1769347813723.6614,linux_poll,-100.0,12.0,router,,[],[]
4410789.788933,1769347813769.8245,linux_poll,-100.0,11.5,router,,[],[]
4410845.590516,1769347813825.626,linux_poll,-100.0,11.4,router,,[],[]
4410893.572535,1769347813873.608,linux_poll,-100.0,11.4,router,,[],[]
4410941.058601,1769347813921.095,linux_poll,-100.0,11.4,router,,[],[]
4410992.681904,1769347813972.7163,linux_poll,-100.0,11.5,router,,[],[]
4411045.612982,1769347814025.648,linux_poll,-100.0,11.1,router,,[],[]
4411092.121676,1769347814072.1575,linux_poll,-100.0,11.3,router,,[],[]
4411144.695785,1769347814124.7307,linux_poll,-100.0,11.4,router,,[],[]
4411189.537873,1769347814169.5737,linux_poll,-100.0,11.4,router,,[],[]
