frame_index,timestamp_monotonic_ms,timestamp_wall_ms
0,4402775.144633001,1769347805755.1912
1,4402901.945994999,1769347805881.991
2,4402937.962118,1769347805918.0059
3,4403002.280263,1769347805982.326
4,4403038.151742999,1769347806018.197
5,4403070.304879,1769347806050.3503
6,4403102.046214,1769347806082.09
7,4403138.299424,1769347806118.3447
8,4403202.390559,1769347806182.4373
9,4403238.280708,1769347806218.3262
10,4403270.469995,1769347806250.5164
11,4403302.358601,1769347806282.4045
12,4403370.114159,1769347806350.1592
13,4403402.163013,1769347806382.2092
14,4403438.331865,1769347806418.3796
15,4403470.586696,1769347806450.633
16,4403502.231396,1769347806482.277
17,4403570.453471,1769347806550.4995
18,4403602.401938,1769347806582.4487
19,4403638.542755,1769347806618.5896
20,4403670.323094999,1769347806650.369
21,4403738.487561,1769347806718.5334
22,4403770.403331,1769347806750.4497
23,4403802.380429,1769347806782.4263
24,4403838.443474,1769347806818.489
25,4403902.3651870005,1769347806882.4114
26,4403938.473852,1769347806918.52
27,4403970.439255999,1769347806950.4854
28,4404002.194723,1769347806982.2402
29,4404070.385585,1769347807050.432
30,4404102.296196,1769347807082.3425
31,4404138.360887,1769347807118.4075
32,4404170.279407,1769347807150.325
33,4404238.426586,1769347807218.4724
34,4404270.36692,1769347807250.4133
35,4404302.312588,1769347807282.3586
36,4404338.302887999,1769347807318.3489
37,4404402.345609,1769347807382.392
38,4404438.313423,1769347807418.3594
39,4404470.280191,1769347807450.3262
40,4404502.218414,1769347807482.264
41,4404570.414635,1769347807550.4607
42,4404602.3212,1769347807582.3677
43,4404638.3362300005,1769347807618.3828
44,4404702.507751,1769347807682.5547
45,4404738.423632001,1769347807718.47
46,4404770.373975,1769347807750.4207
47,4404802.26433,1769347807782.3105
48,4404838.324991,1769347807818.3708
49,4404902.397486,1769347807882.4443
50,4404938.542672999,1769347807918.589
51,4404970.317817001,1769347807950.3638
52,4405002.185743,1769347807982.231
53,4405070.392917001,1769347808050.4392
54,4405102.325478001,1769347808082.3716
55,4405138.362689001,1769347808118.4084
